food,calories,protein,fat,carbs,sugar,fiber,cholesterol,cost
spinach egg noodles cooked,211.0,8.1,2.5,38.8,1.1,3.7,52.8,36
cheese lasagna,316.0,15.9,13.0,33.6,10.3,4.1,31.6,61
pasta with tomato sauce,176.0,5.6,1.8,35.1,10.1,2.3,15.1,28
spinach pasta cooked,37.0,1.4,0.3,7.1,0.0,0.0,9.3,10
vegetable chicken soup,166.0,12.3,4.8,21.1,3.4,1.0,16.9,40
bean ham soup,198.0,10.3,2.5,33.5,7.8,9.8,4.9,39
cream of chicken soup,227.0,6.0,14.5,18.0,1.4,0.0,20.2,35
tomato soup canned,139.0,6.3,3.3,22.6,16.5,1.5,10.1,26
egg drop soup,65.0,2.8,1.5,10.3,0.2,1.0,55.4,12
scotch broth,197.0,12.1,6.4,23.0,0.0,3.0,11.9,42
cream of onion soup,268.0,6.7,12.8,31.7,11.1,1.2,36.6,40
chicken broth dry,10.0,0.7,0.2,1.1,0.0,0.0,0.6,10
vegetable soup with beef broth,162.0,6.0,3.8,26.3,4.0,3.2,2.5,28
chili with beans canned,287.0,14.6,14.1,30.5,3.0,11.3,43.5,57
beef noodle soup,168.0,9.6,6.2,17.9,5.2,1.5,10.0,35
consomme dry,17.0,2.2,0.2,1.9,1.1,0.0,0.0,10
chicken mushroom soup,126.0,2.0,6.1,15.1,1.0,4.0,10.1,17
beef vegetable soup,120.0,8.0,2.9,15.4,3.1,3.0,17.5,27
black bean soup,234.0,12.4,3.4,39.6,6.4,17.5,0.0,47
split pea soup with ham bacon,189.0,11.6,3.1,28.6,0.0,4.1,4.1,40
cream of mushroom soup,199.0,3.4,13.4,17.1,1.0,1.8,0.0,27
green pea soup,320.0,16.7,5.7,51.7,16.7,10.0,0.0,63
chicken broth soup,78.0,11.1,2.6,1.9,0.9,0.0,2.5,28
chicken mushroom chowder soup,431.0,16.2,23.7,38.3,0.0,7.5,32.3,74
chicken dumplings soup,235.0,13.6,13.4,14.7,1.4,1.2,80.5,49
chicken vegetable soup,148.0,7.1,5.6,17.0,3.0,1.7,16.9,28
turkey vegetable soup,72.0,3.1,3.0,8.6,2.6,0.5,2.4,14
wonton soup,71.0,4.6,0.6,11.7,0.8,0.4,8.9,16
beef stock,31.0,4.7,0.2,2.9,1.3,0.0,0.0,12
mushroom barley soup,186.0,4.6,5.5,29.3,0.0,0.0,0.0,28
gazpacho soup,70.0,10.7,0.4,6.6,2.2,0.7,0.0,27
beef mushroom soup,186.0,14.0,7.3,15.9,0.0,0.6,15.3,45
chicken rice soup,127.0,12.3,3.2,13.0,1.4,1.0,12.0,36
pepperpot soup,100.0,6.2,4.5,9.1,0.0,0.5,9.7,22
vegetable soup,149.0,4.3,4.0,24.6,7.9,1.3,0.0,23
chili beef soup,308.0,13.4,6.7,49.6,13.4,6.6,26.3,56
chicken soup,174.0,12.4,6.5,16.9,2.1,1.5,29.4,41
bean with frankfurters soup,188.0,10.0,7.0,22.0,0.0,0.0,12.5,38
pea soup,161.0,8.3,2.8,25.6,8.3,4.9,0.0,32
turkey soup,135.0,10.2,4.4,14.1,0.0,0.0,9.4,33
stockpot soup,201.0,9.8,7.8,23.1,0.0,0.0,7.7,39
hot sour soup,91.0,6.0,2.8,10.1,1.0,1.2,48.9,20
cheese soup,203.0,2.0,9.7,28.0,9.3,5.5,7.4,25
cream of potato soup,186.0,3.8,4.7,32.2,3.6,3.3,2.5,26
bean with bacon soup,106.0,5.5,2.1,16.4,0.6,9.0,2.7,21
fish stock,40.0,5.3,1.9,0.0,0.0,0.0,2.3,14
split pea soup with ham,381.0,20.7,8.9,56.2,0.0,4.6,16.2,77
beef broth soup,17.0,2.7,0.5,0.01,0.0,0.0,0.0,10
lentil soup with ham,139.0,9.3,2.8,20.2,0.0,0.0,7.4,31
tomato soup,98.0,2.2,0.7,22.5,12.2,1.6,0.0,15
fish broth,39.0,4.9,1.5,1.0,0.2,0.0,0.0,13
chili without beans canned,283.0,18.1,17.0,14.6,0.0,0.0,50.4,62
minestrone soup,167.0,8.6,5.0,22.6,3.7,2.0,2.5,33
clam chowder soup,154.0,4.4,4.4,24.5,6.8,3.0,5.0,24
tomato vegetable soup,54.0,1.9,0.8,9.9,2.4,0.7,0.0,10
cream of rice coup,127.0,2.2,0.2,28.1,0.022,0.2,0.0,17
cream of celery soup,181.0,3.3,11.2,17.7,3.4,1.5,27.7,25
chicken gravy,188.0,4.6,13.6,12.9,1.9,1.0,4.8,28
tomato rice soup,240.0,4.2,5.5,44.1,15.2,3.4,2.6,32
vegetable beef soup,128.0,18.1,2.0,9.6,0.0,4.4,8.8,46
tomato beef noodle soup,281.0,8.9,8.6,42.3,0.0,3.0,7.5,45
oyster stew soup,118.0,4.2,7.7,8.2,0.0,0.0,27.1,20
ramen noodle soup dry,371.0,8.9,13.3,53.9,1.3,2.0,0.0,54
chicken noodle soup,145.0,7.2,4.7,18.4,0.0,2.7,24.2,28
chicken bouillon dry,11.0,0.7,0.6,0.7,0.7,0.0,0.5,10
cream of asparagus soup,174.0,4.6,8.2,21.5,1.8,1.0,10.1,27
turkey noodle soup,139.0,7.8,4.0,17.3,1.0,1.5,10.1,29
cream of shrimp soup,181.0,5.6,10.4,16.5,0.0,0.5,32.8,29
bean with pork soup,335.0,15.3,11.5,44.1,7.8,15.3,5.2,62
chicken broth,12.0,1.0,0.5,1.0,0.0,0.0,0.0,10
beef broth powder,8.0,0.6,0.3,0.6,0.6,0.0,0.4,10
split pea soup,180.0,9.7,2.3,29.9,12.8,4.8,5.1,36
escarole soup,61.0,3.4,4.0,4.0,0.0,0.0,5.5,13
chicken stock,86.0,6.0,2.9,8.5,3.8,0.0,7.2,20
tomato bisque soup,248.0,4.5,5.0,47.7,0.0,2.1,10.3,34
shark fin soup,99.0,6.9,4.3,8.2,0.0,0.0,4.3,23
onion soup,113.0,7.5,3.5,16.4,6.7,1.7,0.0,26
chicken gumbo soup,113.0,5.3,2.9,16.8,4.9,4.0,7.6,22
crab soup,95.0,10.4,0.8,12.5,0.0,2.4,41.5,29
tripe soup,148.0,17.2,5.2,8.1,0.0,0.0,118.0,47
little india little lunch,164.0,0.0,10.6,2.0,0.0,0.0,0.0,14
original chicken sandwich chick fil a,125.0,0.0,5.1,0.0,0.0,0.0,0.0,10
sausage mcmuffin mcdonalds,383.0,14.6,24.2,28.2,2.2,1.6,44.9,67
sausage mcgriddles mcdonalds,421.0,11.4,24.0,42.2,15.2,1.4,32.4,65
crispy chicken drumstick kentucky fried chicken,70.0,10.6,3.0,0.0,0.0,0.0,56.2,27
chicken crispy drumsticks kentucky fried chicken,156.0,11.8,10.1,4.5,0.0,0.0,62.1,38
biscuit kentucky fried chicken,185.0,3.8,9.1,22.1,1.7,0.8,0.5,26
english muffin mcdonalds,97.0,5.7,2.3,2.9,1.5,0.2,20.7,18
french fries mcdonalds,378.0,4.0,18.1,49.8,0.2,4.6,0.0,46
hotdog,383.0,16.4,23.0,28.5,0.0,0.0,69.8,70
french fries burger king,207.0,2.4,9.2,28.6,0.4,2.1,0.0,26
original taco with beef cheese lettuce taco bell,158.0,6.1,8.8,13.7,0.6,2.7,19.3,28
hotdog with chili,296.0,13.5,13.4,31.3,0.0,0.0,51.3,55
chicken crispy wings kentucky fried chicken,148.0,9.2,10.1,5.1,0.0,0.0,47.1,32
egg white delight mcdonalds,250.0,0.0,16.0,0.0,0.0,0.0,0.0,21
french toast sticks burger king,73.0,1.3,3.7,8.7,2.1,0.3,0.0,10
mcchicken mcdonalds,358.0,13.7,17.3,36.6,4.7,1.7,35.4,62
nachos supreme taco bell,480.0,14.8,26.6,45.0,0.0,8.0,37.1,76
crispy chicken wing kentucky fried chicken,104.0,12.6,5.3,1.3,0.0,0.0,64.2,34
chicken strips burger king,105.0,6.6,5.5,7.4,0.0,0.5,15.8,23
crispy chicken breast kentucky fried chicken,214.0,38.2,6.7,0.4,0.0,0.0,121.8,91
sausage biscuit mcdonalds,440.0,11.3,29.7,31.8,2.3,1.4,33.9,66
sausage burrito mcdonalds,339.0,13.0,17.1,24.2,1.4,1.2,172.9,57
onion rings fried,27.0,0.3,1.6,2.8,0.4,0.2,0.0,10
onion rings burger king,379.0,3.5,23.0,39.7,4.9,2.5,0.0,46
turkey patty fried,79.0,3.9,5.0,4.4,0.053,0.1,21.0,16
hotcakes with syrup mcdonalds,601.0,9.0,17.8,101.8,45.5,2.0,19.9,78
crispy chicken thigh kentucky fried chicken,163.0,20.4,9.1,0.0,0.0,0.0,107.4,54
corn dog,195.0,6.7,9.4,21.0,5.9,0.8,34.3,33
chicken box mcdonalds,70.0,0.2,4.0,5.5,0.5,0.0,0.0,10
potato wedges kentucky fried chicken,379.0,5.4,19.8,45.0,0.0,4.2,0.0,49
scrambled eggs mcdonalds,98.0,7.7,7.5,0.9,0.1,0.0,217.8,25
egg mcmuffin mcdonalds,287.0,17.2,12.2,27.3,2.7,1.4,207.9,61
nachos taco bell,362.0,5.1,21.9,36.0,0.0,3.8,4.0,47
biscuit large mcdonalds,310.0,5.5,14.4,39.4,2.7,1.8,0.0,42
crispy chicken strips kentucky fried chicken,129.0,9.5,7.2,6.4,0.0,0.7,24.0,31
hotcakes mcdonalds,113.0,3.0,2.9,19.0,4.4,0.7,6.4,17
chicken crispy breast kentucky fried chicken,375.0,29.7,23.2,11.9,0.0,0.0,106.4,93
hotcakes sausage mcdonalds,776.0,15.5,34.9,102.4,45.7,2.1,50.2,108
chicken mcnuggets mcdonalds,48.0,2.5,3.2,2.4,0.025,0.0,7.0,10
chips chipotle,151.0,0.2,7.1,2.1,2.1,0.0,0.0,12
biscuit mcdonalds,261.0,4.7,12.2,33.3,2.2,1.5,0.0,36
rice bowl with chicken,36.0,1.6,0.4,6.4,1.2,0.2,4.5,10
spaghetti with meatballs,200.0,8.7,8.2,22.9,5.8,5.4,14.0,37
meat ravioli canned,259.0,8.9,8.9,36.0,6.3,4.2,13.1,43
cheese ravioli canned,186.0,6.0,3.5,33.0,9.0,3.1,7.3,30
premium crispy chicken ranch blt sandwich mcdonalds,586.0,35.3,22.9,59.8,13.3,3.4,72.0,124
steak sandwich,459.0,30.3,14.1,52.0,0.0,0.0,73.4,102
cheeseburger burger king,380.0,19.4,19.7,31.5,6.0,3.7,59.9,74
cheeseburger mcdonalds,313.0,15.4,14.0,33.1,7.4,1.3,41.7,61
double cheeseburger,643.0,37.0,36.9,41.0,9.5,2.1,114.0,133
double hamburger,942.0,52.1,58.6,51.4,13.2,5.2,172.0,150
premium grilled chicken classic sandwich mcdonalds,366.0,28.3,8.6,44.6,10.0,2.8,68.0,89
big n tasty with cheese mcdonalds,573.0,27.2,36.0,39.7,9.5,3.2,91.4,109
premium grilled chicken club sandwich mcdonalds,493.0,38.3,18.0,44.3,6.4,2.7,102.6,120
quarter pounder mcdonalds,417.0,24.1,19.8,37.9,8.8,2.7,66.7,87
premium crispy chicken classic sandwich mcdonalds,524.0,27.8,20.0,58.6,12.4,3.2,59.8,104
veggie burger,124.0,11.0,4.4,10.0,0.7,3.4,3.5,33
quarter pounder with cheese mcdonalds,513.0,29.0,28.3,39.7,9.8,2.8,93.5,106
beef sandwich steak raw,173.0,9.2,15.1,0.0,0.0,0.0,39.8,35
cheeseburger,292.0,15.0,13.2,28.7,5.9,1.6,41.4,57
premium grilled chicken ranch blt sandwich mcdonalds,412.0,33.7,10.9,44.3,10.5,2.8,76.8,103
double whopper with cheese burger king,1061.0,57.7,68.1,53.9,14.4,6.4,187.5,150
big mac mcdonalds,563.0,25.9,32.8,44.0,8.7,3.5,78.8,106
sandwich with cold cuts,833.0,41.1,39.3,79.9,12.4,4.7,105.6,150
filet o fish mcdonalds,378.0,15.1,19.6,35.4,4.9,1.9,42.9,66
hand breaded chicken tenders carls jr,57.0,0.0,2.9,0.2,0.0,0.0,0.0,10
grilled chicken sandwich wendys,370.0,0.0,8.0,0.0,0.0,0.0,0.0,23
sandwich with roast beef,410.0,28.6,13.0,44.3,0.0,0.0,73.4,94
hamburger burger king,258.0,14.7,10.4,26.5,5.5,2.0,34.7,53
big n tasty mcdonalds,524.0,24.7,31.7,38.5,8.8,3.2,76.6,100
roast beef sandwich,364.0,22.6,15.3,33.1,5.7,1.9,44.7,78
roast beef sandwich with cheese,473.0,32.2,18.0,45.4,0.0,0.0,77.4,107
hamburger,255.0,12.9,9.9,28.7,5.8,1.7,28.1,50
premium fish sandwich burger king,572.0,22.6,27.4,58.7,7.8,2.0,68.2,100
whopper burger king,790.0,35.4,48.4,52.8,13.0,3.2,113.8,146
sandwich with tuna salad,584.0,29.7,28.0,55.4,0.0,0.0,48.6,114
original chicken sandwich burger king,569.0,24.2,29.2,52.2,6.0,4.8,61.7,102
double whopper burger king,942.0,52.1,58.6,51.4,13.2,5.2,172.0,150
premium crispy chicken club sandwich mcdonalds,635.0,39.1,29.9,57.4,12.7,3.0,96.5,137
hamburger mcdonalds,251.0,12.3,9.6,28.8,5.7,1.2,25.7,48
pepperoni pizza dominos,308.0,12.7,12.6,36.0,4.2,2.4,28.3,55
sausage pizza,325.0,13.3,14.3,35.5,3.9,2.7,26.7,58
pepperoni pizza,313.0,13.0,13.2,35.5,3.6,2.6,27.8,56
pepperoni pizza pizza hut,269.0,12.3,10.9,30.3,3.5,1.6,25.0,50
cheese pizza pizza hut,260.0,11.5,10.5,30.0,3.2,1.7,23.0,48
cheese pizza,285.0,12.2,10.4,35.7,3.8,2.5,18.2,51
cheese pizza dominos,278.0,11.7,9.7,35.9,4.3,2.4,18.4,50
meat vegetable pizza,332.0,15.0,14.8,34.5,5.1,3.0,36.7,61
sucker raw,146.0,26.6,3.7,0.0,0.0,0.0,65.2,63
northern pike raw,348.0,76.3,2.7,0.0,0.0,0.0,154.4,150
haddock cooked,135.0,30.0,0.8,0.0,0.0,0.0,99.0,68
burbot cooked,104.0,22.3,0.9,0.0,0.0,0.0,69.3,51
pollock cooked,356.0,75.3,3.8,0.0,0.0,0.0,274.8,150
rainbow smelt raw,27.0,5.0,0.7,0.0,0.0,0.0,19.8,12
whitefish cooked,265.0,37.7,11.6,0.0,0.0,0.0,118.6,95
walleye pike raw,148.0,30.4,1.9,0.0,0.0,0.0,136.7,70
carp cooked,275.0,38.9,12.2,0.0,0.0,0.0,142.8,98
